DHSID,minor_roads_count,minor_roads_length,small_roads_count,small_roads_length,nocars_roads_count,nocars_roads_length,major_roads_count,major_roads_length,links_roads_count,links_roads_length,unknown_roads_count,unknown_roads_length,minor_roads_nearest-osmid,minor_roads_nearestdist,small_roads_nearest-osmid,small_roads_nearestdist,nocars_roads_nearest-osmid,nocars_roads_nearestdist,major_roads_nearest-osmid,major_roads_nearestdist,links_roads_nearest-osmid,links_roads_nearestdist,unknown_roads_nearest-osmid,unknown_roads_nearestdist,all_roads_length,all_roads_count,all_roads_nearestdist
PH201700000346,258.0,140205.08797467494,60.0,18990.348280192004,6.0,9432.17594713467,30.0,13128.220935000241,0.0,0.0,0.0,0.0,791980399,0.000521138934703847,791980587,0.00198633070403724,695760995,0.012742466624970554,715304151,0.0047746886673129705,795540050,0.05411635712033003,247375455,0.15040235088569529,181755.83313700187,354.0,0.000521138934703847
PH201700000347,140.0,50905.32240041373,105.0,42825.77041474811,10.0,2351.0888516239297,13.0,1822.2024187565653,0.0,0.0,1.0,212.7014206925514,789875735,0.003760152750963649,788770078,0.0002669980378345757,789806867,0.007087247014936316,541633397,0.005982827954787234,815121417,0.10590374487359741,250479930,0.014049955241631822,98117.0855062349,269.0,0.0002669980378345757
PH201700000348,239.0,82796.98433065237,415.0,144003.55345605695,16.0,2947.010090486728,19.0,4843.808180539019,0.0,0.0,3.0,4854.924984999327,273455239,0.0004358611230472664,245951909,0.0012046129713782709,246843232,0.012942959725370408,273455134,0.0012649219454107445,245675913,0.07185957792088121,246350994,0.021852664260758093,239446.2810427344,692.0,0.0004358611230472664
PH201700000349,76.0,26545.63916896954,27.0,13960.035853885593,5.0,873.4844784222769,8.0,2743.0029793991944,0.0,0.0,0.0,0.0,820396477,0.0011793270562634021,820396504,0.004773045753731608,820396428,0.006771712138940308,304355143,0.0013480123473873819,859956127,0.33695948486601796,616192755,0.040991317046972967,44122.1624806766,116.0,0.0011793270562634021
PH201700000350,134.0,60399.50735832902,7.0,1228.0000810507745,20.0,4550.898049396856,12.0,3674.9616529443615,0.0,0.0,0.0,0.0,251286941,0.0006298611124260098,597140684,0.007436567701499128,597140715,0.005065899708082225,597140710,0.0029680684757276937,114671577,0.13470278874649455,873329939,0.2587492287300113,69853.36714172101,173.0,0.0006298611124260098
PH201700000351,79.0,50166.14117572102,17.0,4241.864640862803,0.0,0.0,4.0,718.4671975647299,0.0,0.0,0.0,0.0,791651087,0.0002509732438736178,849981755,0.0021409391465901204,863625317,0.010872105124813805,167974014,0.00614045619894094,388359016,0.13515858728198252,873329939,0.11614003647156487,55126.473014148556,100.0,0.0002509732438736178
PH201700000352,219.0,94862.5318194374,52.0,28105.74943322927,1.0,166.1696914641792,9.0,1757.2327825668413,0.0,0.0,0.0,0.0,788731306,0.0016066794856197922,850895919,0.002009515016584602,135268482,0.013873014298166595,715304151,0.008862819911013528,246750548,0.0589832372826371,247375455,0.09386681054774047,124891.6837266977,281.0,0.0016066794856197922
PH201700000353,26.0,9291.517101221212,32.0,43673.27244908262,0.0,0.0,4.0,1118.311597283497,0.0,0.0,0.0,0.0,526045262,0.0014106141513062262,853101679,0.0002486909132564219,745997473,0.01041260694942134,157827327,0.00747538411665668,245675913,0.03662148392378956,245844168,0.037546731155328486,54083.10114758733,62.0,0.0002486909132564219
PH201700000354,15.0,4448.243346774902,19.0,3039.438872783236,3.0,346.54788509005544,11.0,1712.3943862387396,0.0,0.0,0.0,0.0,43465599,0.003256512710464079,814838721,0.003558210050115447,527270494,0.0033536376183872607,696150816,0.0017329986108313043,388359016,0.16653770879766366,301682445,0.06533445145019579,9546.624490886934,48.0,0.0017329986108313043
PH201700000355,590.0,241370.61042106923,200.0,68776.56243720347,1.0,95.52678106538134,9.0,2459.752917427013,0.0,0.0,0.0,0.0,742721002,0.0008777648927870831,788733107,0.00020437600510963506,106242810,0.00505426153435917,54233874,0.004427383661682581,788459166,0.04513139788345759,250479930,0.10864111668505447,312702.45255676506,800.0,0.00020437600510963506
