DHSID,air_transport_count,ground_transport_count,water_transport_count,all_transport_count
PH201700000830,0.0,0.0,0.0,0.0
PH201700000831,0.0,0.0,0.0,0.0
PH201700000832,0.0,2.0,2.0,4.0
PH201700000834,0.0,1.0,0.0,1.0
PH201700000835,1.0,22.0,8.0,31.0
PH201700000836,2.0,0.0,0.0,2.0
PH201700000837,0.0,0.0,0.0,0.0
PH201700000838,0.0,0.0,0.0,0.0
PH201700000839,2.0,0.0,0.0,2.0
PH201700000840,0.0,0.0,1.0,1.0
PH201700000841,0.0,0.0,0.0,0.0
PH201700000842,0.0,0.0,0.0,0.0
PH201700000843,0.0,0.0,0.0,0.0
PH201700000844,2.0,0.0,2.0,4.0
PH201700000845,1.0,0.0,0.0,1.0
PH201700000846,1.0,0.0,0.0,1.0
PH201700000847,0.0,13.0,0.0,13.0
PH201700000848,2.0,21.0,0.0,23.0
PH201700000849,0.0,16.0,0.0,16.0
PH201700000850,1.0,19.0,5.0,25.0
PH201700000851,0.0,2.0,0.0,2.0
PH201700000852,3.0,50.0,5.0,58.0
PH201700000853,2.0,18.0,0.0,20.0
PH201700000854,2.0,29.0,2.0,33.0
PH201700000855,0.0,0.0,0.0,0.0
PH201700000856,0.0,7.0,0.0,7.0
PH201700000857,0.0,11.0,0.0,11.0
PH201700000858,0.0,0.0,0.0,0.0
PH201700000859,0.0,2.0,0.0,2.0
PH201700000860,0.0,1.0,1.0,2.0
PH201700000861,0.0,1.0,0.0,1.0
PH201700000862,0.0,1.0,0.0,1.0
PH201700000863,0.0,0.0,0.0,0.0
PH201700000864,0.0,0.0,0.0,0.0
PH201700000865,0.0,0.0,0.0,0.0
PH201700000866,0.0,2.0,0.0,2.0
PH201700000374,0.0,2.0,0.0,2.0
PH201700000375,0.0,1.0,0.0,1.0
PH201700000376,0.0,0.0,0.0,0.0
PH201700000377,4.0,9.0,2.0,15.0
PH201700000378,0.0,1.0,0.0,1.0
PH201700000379,0.0,0.0,0.0,0.0
PH201700000380,0.0,1.0,0.0,1.0
PH201700000381,0.0,0.0,0.0,0.0
PH201700000382,0.0,0.0,0.0,0.0
PH201700000383,0.0,2.0,0.0,2.0
PH201700000384,0.0,1.0,0.0,1.0
PH201700000385,0.0,0.0,0.0,0.0
PH201700000867,0.0,0.0,0.0,0.0
PH201700000868,0.0,0.0,0.0,0.0
PH201700000869,0.0,2.0,0.0,2.0
PH201700000870,0.0,0.0,0.0,0.0
PH201700000871,0.0,2.0,1.0,3.0
PH201700000872,0.0,0.0,0.0,0.0
PH201700000873,0.0,0.0,0.0,0.0
PH201700000875,3.0,0.0,0.0,3.0
PH201700000876,2.0,31.0,0.0,33.0
PH201700000877,0.0,1.0,1.0,2.0
PH201700000878,0.0,5.0,0.0,5.0
PH201700000879,0.0,0.0,0.0,0.0
PH201700000880,1.0,32.0,4.0,37.0
PH201700000881,1.0,2.0,0.0,3.0
PH201700000882,1.0,34.0,9.0,44.0
PH201700000883,0.0,0.0,0.0,0.0
PH201700000884,0.0,4.0,0.0,4.0
PH201700000885,0.0,4.0,0.0,4.0
PH201700000886,1.0,20.0,8.0,29.0
PH201700000887,6.0,2.0,0.0,8.0
PH201700000888,23.0,3.0,0.0,26.0
PH201700000889,8.0,8.0,0.0,16.0
PH201700000890,1.0,0.0,0.0,1.0
PH201700000891,8.0,9.0,0.0,17.0
PH201700000892,4.0,7.0,2.0,13.0
PH201700000893,2.0,13.0,4.0,19.0
PH201700000894,0.0,1.0,2.0,3.0
PH201700000895,0.0,2.0,0.0,2.0
PH201700000896,0.0,4.0,0.0,4.0
PH201700000897,0.0,4.0,0.0,4.0
PH201700000898,0.0,1.0,0.0,1.0
PH201700000899,3.0,12.0,2.0,17.0
PH201700000900,0.0,9.0,0.0,9.0
PH201700000901,1.0,27.0,3.0,31.0
PH201700000902,3.0,14.0,1.0,18.0
PH201700000903,16.0,7.0,4.0,27.0
