DHSID,ground_transport_count,water_transport_count,air_transport_count,all_transport_count
PK201700000196,0.0,0.0,0.0,0.0
PK201700000197,0.0,0.0,0.0,0.0
PK201700000198,4.0,0.0,0.0,4.0
PK201700000199,0.0,0.0,0.0,0.0
PK201700000200,1.0,0.0,0.0,1.0
PK201700000201,0.0,0.0,0.0,0.0
PK201700000202,0.0,0.0,0.0,0.0
PK201700000203,0.0,0.0,0.0,0.0
PK201700000204,0.0,0.0,0.0,0.0
PK201700000205,0.0,0.0,0.0,0.0
PK201700000206,0.0,0.0,0.0,0.0
PK201700000207,0.0,0.0,0.0,0.0
PK201700000208,0.0,0.0,0.0,0.0
PK201700000209,0.0,0.0,0.0,0.0
PK201700000210,1.0,0.0,0.0,1.0
PK201700000211,0.0,0.0,0.0,0.0
PK201700000212,0.0,0.0,0.0,0.0
PK201700000213,0.0,0.0,0.0,0.0
PK201700000214,1.0,0.0,0.0,1.0
PK201700000215,4.0,0.0,1.0,5.0
PK201700000216,0.0,0.0,0.0,0.0
PK201700000217,0.0,0.0,0.0,0.0
PK201700000218,1.0,0.0,1.0,2.0
PK201700000219,1.0,0.0,0.0,1.0
PK201700000220,0.0,0.0,0.0,0.0
PK201700000222,0.0,0.0,0.0,0.0
PK201700000223,0.0,0.0,0.0,0.0
PK201700000224,0.0,0.0,0.0,0.0
PK201700000225,1.0,0.0,0.0,1.0
PK201700000226,0.0,0.0,0.0,0.0
PK201700000227,0.0,0.0,0.0,0.0
PK201700000228,0.0,0.0,0.0,0.0
PK201700000229,0.0,0.0,0.0,0.0
PK201700000230,0.0,0.0,0.0,0.0
PK201700000231,1.0,0.0,0.0,1.0
PK201700000232,0.0,0.0,0.0,0.0
PK201700000233,0.0,0.0,0.0,0.0
PK201700000234,0.0,0.0,0.0,0.0
PK201700000235,0.0,0.0,0.0,0.0
PK201700000236,0.0,0.0,0.0,0.0
PK201700000237,0.0,0.0,0.0,0.0
PK201700000238,0.0,0.0,0.0,0.0
PK201700000239,0.0,0.0,0.0,0.0
PK201700000240,0.0,0.0,0.0,0.0
PK201700000241,0.0,0.0,0.0,0.0
PK201700000242,1.0,0.0,0.0,1.0
PK201700000243,0.0,0.0,0.0,0.0
PK201700000244,0.0,0.0,0.0,0.0
PK201700000245,0.0,0.0,0.0,0.0
PK201700000246,51.0,0.0,1.0,52.0
PK201700000247,2.0,0.0,0.0,2.0
PK201700000248,25.0,0.0,0.0,25.0
PK201700000249,2.0,0.0,0.0,2.0
PK201700000250,2.0,0.0,0.0,2.0
PK201700000251,0.0,0.0,0.0,0.0
PK201700000252,0.0,0.0,0.0,0.0
PK201700000253,0.0,0.0,0.0,0.0
PK201700000254,0.0,0.0,0.0,0.0
PK201700000255,1.0,0.0,0.0,1.0
PK201700000256,0.0,0.0,0.0,0.0
PK201700000257,1.0,0.0,0.0,1.0
PK201700000258,0.0,0.0,0.0,0.0
PK201700000259,0.0,0.0,0.0,0.0
PK201700000260,0.0,0.0,0.0,0.0
PK201700000261,0.0,0.0,0.0,0.0
PK201700000262,0.0,0.0,0.0,0.0
PK201700000263,1.0,0.0,0.0,1.0
PK201700000264,0.0,0.0,0.0,0.0
PK201700000265,3.0,0.0,0.0,3.0
PK201700000266,0.0,0.0,0.0,0.0
PK201700000267,0.0,0.0,0.0,0.0
PK201700000268,183.0,0.0,0.0,183.0
PK201700000269,34.0,0.0,0.0,34.0
PK201700000270,3.0,0.0,0.0,3.0
PK201700000271,4.0,0.0,1.0,5.0
PK201700000272,4.0,0.0,0.0,4.0
PK201700000273,19.0,0.0,0.0,19.0
PK201700000274,3.0,0.0,0.0,3.0
PK201700000275,5.0,0.0,0.0,5.0
PK201700000276,11.0,0.0,0.0,11.0
PK201700000277,36.0,0.0,0.0,36.0
PK201700000278,0.0,0.0,0.0,0.0
PK201700000279,0.0,0.0,0.0,0.0
PK201700000280,89.0,0.0,1.0,90.0
PK201700000281,6.0,0.0,0.0,6.0
PK201700000282,12.0,0.0,1.0,13.0
PK201700000283,16.0,0.0,0.0,16.0
PK201700000284,9.0,0.0,0.0,9.0
PK201700000285,12.0,0.0,2.0,14.0
PK201700000286,10.0,0.0,0.0,10.0
PK201700000287,8.0,0.0,0.0,8.0
PK201700000288,43.0,0.0,0.0,43.0
PK201700000289,42.0,0.0,0.0,42.0
PK201700000290,44.0,0.0,0.0,44.0
PK201700000291,27.0,0.0,0.0,27.0
PK201700000292,30.0,0.0,0.0,30.0
PK201700000293,33.0,0.0,0.0,33.0
PK201700000294,40.0,0.0,3.0,43.0
PK201700000295,34.0,0.0,0.0,34.0
PK201700000296,51.0,0.0,0.0,51.0
PK201700000297,51.0,0.0,0.0,51.0
PK201700000298,22.0,0.0,0.0,22.0
PK201700000299,39.0,0.0,0.0,39.0
PK201700000300,30.0,0.0,0.0,30.0
PK201700000301,65.0,0.0,0.0,65.0
PK201700000302,46.0,0.0,0.0,46.0
PK201700000303,43.0,0.0,0.0,43.0
PK201700000304,44.0,0.0,0.0,44.0
PK201700000305,30.0,0.0,0.0,30.0
PK201700000306,55.0,0.0,2.0,57.0
PK201700000307,54.0,0.0,0.0,54.0
PK201700000308,20.0,0.0,0.0,20.0
PK201700000309,56.0,0.0,0.0,56.0
PK201700000310,57.0,0.0,0.0,57.0
PK201700000311,87.0,0.0,1.0,88.0
PK201700000312,2.0,0.0,0.0,2.0
PK201700000313,0.0,0.0,0.0,0.0
PK201700000314,0.0,0.0,0.0,0.0
PK201700000315,0.0,0.0,0.0,0.0
PK201700000316,0.0,0.0,0.0,0.0
PK201700000317,0.0,0.0,0.0,0.0
PK201700000318,0.0,0.0,0.0,0.0
PK201700000319,0.0,0.0,0.0,0.0
PK201700000320,0.0,0.0,0.0,0.0
PK201700000321,8.0,0.0,0.0,8.0
PK201700000322,2.0,0.0,1.0,3.0
PK201700000323,0.0,0.0,0.0,0.0
PK201700000324,6.0,0.0,0.0,6.0
PK201700000325,0.0,0.0,0.0,0.0
PK201700000326,1.0,0.0,0.0,1.0
PK201700000327,6.0,0.0,0.0,6.0
PK201700000328,0.0,0.0,0.0,0.0
PK201700000329,4.0,0.0,0.0,4.0
PK201700000330,0.0,0.0,0.0,0.0
PK201700000331,0.0,0.0,0.0,0.0
PK201700000332,0.0,0.0,0.0,0.0
PK201700000333,0.0,0.0,0.0,0.0
PK201700000334,0.0,0.0,0.0,0.0
PK201700000335,0.0,0.0,0.0,0.0
PK201700000336,0.0,0.0,0.0,0.0
