DHSID,minor_roads_count,minor_roads_length,nocars_roads_count,nocars_roads_length,small_roads_count,small_roads_length,major_roads_count,major_roads_length,links_roads_count,links_roads_length,unknown_roads_count,unknown_roads_length,minor_roads_nearest-osmid,minor_roads_nearestdist,nocars_roads_nearest-osmid,nocars_roads_nearestdist,small_roads_nearest-osmid,small_roads_nearestdist,major_roads_nearest-osmid,major_roads_nearestdist,links_roads_nearest-osmid,links_roads_nearestdist,unknown_roads_nearest-osmid,unknown_roads_nearestdist,all_roads_length,all_roads_count,all_roads_nearestdist
TG201300000029,831.0,584892.3637438723,92.0,63401.69264130001,221.0,252487.60620483328,172.0,319293.0332345558,9.0,21841.63527035756,0.0,0.0,181382719,0.0027943443243549264,1013142236,0.00362644109090054,235079209,0.0012705953095307858,235079066,0.001183822890654954,246673580,0.01592375256029523,410309485,0.06926542244489341,1241916.331094919,1325.0,0.001183822890654954
TG201300000030,30.0,6286.605459227831,46.0,23129.016003566147,52.0,208249.1067959842,16.0,6602.330240895347,0.0,0.0,0.0,0.0,513247406,0.7688928012759066,914268075,0.9214461207716106,511443805,0.7822654333137897,286831206,0.9677894443430516,685773665,1.241078564429588,873262814,1.7773646495602315,244267.05849967353,144.0,0.7688928012759066
TG201300000031,654.0,387636.2877739998,67.0,27854.5414669387,229.0,334688.95340543403,135.0,230214.47901262506,9.0,40616.5124173926,0.0,0.0,383932082,0.08575377619491177,923118340,0.13196032350805087,403544204,0.11993607128520192,325860722,0.07958888054447409,331761934,0.45408021793846276,873262814,0.46919226718210616,1021010.7740763901,1094.0,0.07958888054447409
TG201300000032,195.0,71791.092003566,543.0,202081.07144223698,39.0,6758.632962428263,1.0,823.6204204901505,0.0,0.0,0.0,0.0,383932082,0.4235650699798758,559136126,0.41798045074219214,403544194,0.4164576697679594,168448942,0.42054395843970316,667678998,0.45050548535755713,930159554,0.5174673594991113,281454.4168287214,778.0,0.4164576697679594
TG201300000033,943.0,464454.00229779613,54.0,36036.362149110755,245.0,266808.9491024759,118.0,282777.4134085669,10.0,44274.22396125711,0.0,0.0,215063095,0.1369665922895129,914268075,0.29580623482256835,511443805,0.1605564836372103,286831206,0.32992158073826644,685773665,0.6657862799665831,873262814,1.406345776426673,1094350.950919207,1370.0,0.1369665922895129
TG201300000034,20.0,27653.732644297303,14.0,19786.881233906748,4.0,75.76296880655313,12.0,23287.874713688056,2.0,1485.734557000964,0.0,0.0,383719050,0.02541919451315052,896295978,0.06562833839876675,492326348,0.07855810779984777,652503643,0.08419877492260064,680278737,0.3671975546104889,873262814,0.22158790836166928,72289.98611769962,52.0,0.02541919451315052
TG201300000035,204.0,364294.30118449754,703.0,928891.5591148316,324.0,481050.2756151812,16.0,19201.22157243052,2.0,38285.12748727704,0.0,0.0,995345460,0.01830437460184914,995345438,0.01629637536260325,406588812,0.04016809695711759,220244663,0.045776830873987415,448705723,0.21647709483638988,410309485,0.627170989996705,1831722.4849742183,1249.0,0.01629637536260325
TG201300000036,268.0,200844.43198373605,32.0,4341.385366475376,32.0,7303.685933561647,10.0,17117.26665923374,0.0,0.0,0.0,0.0,246412420,0.9381672526603174,459659931,0.9498864032489244,1008778873,0.9421788248263787,447746188,0.8886466937192131,644490866,1.2595897433604362,873262814,1.6300260186684035,229606.76994300683,342.0,0.8886466937192131
TG201300000037,778.0,505746.60988100676,87.0,59755.07161273085,309.0,469148.46021287236,194.0,425650.032989759,10.0,50860.5180471682,0.0,0.0,220462326,0.8311383773908434,917519956,0.9132783109362749,959176504,0.8461549856423791,381164739,0.9247689101902172,685773665,1.1542057501146197,873262814,1.4295915239513757,1511160.6927435372,1378.0,0.8311383773908434
TG201300000038,855.0,383956.7991223215,111.0,80602.61587467809,206.0,370710.05652377254,43.0,22189.76896743749,1.0,829.9036581246228,0.0,0.0,379985178,0.028368876141332884,464577144,0.047866291830562645,379985072,0.03203092433074961,379739430,0.054950825513959425,519228786,0.2169945019510031,410309485,0.24820506535349296,858289.1441463341,1216.0,0.028368876141332884
