run_id,name,parent,max_depth,max_features,min_samples_split,min_samples_leaf,n_estimators,r2,version,gender,classification
1162f41c3c61473cb1e50df7ef8c319b,adorable-hawk-314,d1e428f6b85c402eac37b4583b66d88f,10,0.33,2,1,500,0.7597177521960872,1.5.0,female,hoheq
cfa8003d93a945f09d31f9a05c809e33,upbeat-fox-256,ee7aee7280be4c56bad7a7c09e79d854,10,0.33,2,1,500,0.7577390431949167,1.5.0,female,hoheq
d1246b2779ce46eb946c48ad537e4636,efficient-seal-444,a16bf8ebf7904fcaaf377bba1e2e118f,10,0.33,2,1,500,0.6158796237883255,1.5.0,female,hoheq
2e4042660ef743dc8479e221d73cf4e0,awesome-stork-891,85c5841296ec4eb69730231e173cf34d,10,0.33,2,1,500,0.7172200528130338,1.5.0,female,hoheq
46a739d36cb7424aadadfa40bd3ae403,indecisive-sheep-910,c23ef520ceac4d5f8a936d69eee1f244,10,0.33,2,1,500,0.49677180723985037,1.5.0,female,hoheq
216d900a22b84f93a0d4b8556c1ad17e,likeable-trout-868,3e6c06d8a71b4bd69ae43272ccf04354,10,0.33,2,1,500,0.7600393779820458,1.5.0,female,hoheq
2856ed605a384c8095bf9c493edcbb38,awesome-seal-117,94c0d460b1994b81906637d73f69f5f0,10,0.33,2,1,500,0.6697568871821257,1.5.0,female,hoheq
366e1ad9d3b34b6f932a707583a9df84,intrigued-asp-199,6992e97681144961833ea1b9194d28bb,10,0.33,2,1,500,0.6872036355296924,1.5.0,female,hoheq
3cf529f368d14c32a8041234b7ec2300,illustrious-toad-112,47b8e87842044b5fa76a0de2b5b8f854,10,0.33,2,1,500,0.7080776243772949,1.5.0,female,hoheq
5721db7221f440a4818512d9814be084,melodic-deer-612,8f74936750c44147b76174dd8324c220,10,0.33,2,1,500,0.8161304936356835,1.5.0,male,hoheq
b159331505514706b96373efa2d8116c,thoughtful-carp-782,167be10792e24991936ec2197bec0d15,10,0.33,2,1,500,0.8089346326610674,1.5.0,male,hoheq
1aaa70fec8484b2d9b1dfe28a8d8e18b,popular-hen-700,a3d4a6c134474a8b98079aaa52c5f428,10,0.33,2,1,500,0.8166001409120478,1.5.0,male,hoheq
2fd8fb80c34546ecadf4193c1c140924,caring-horse-77,2df1590294a842eb8c930101a2ceef7e,10,0.33,2,1,500,0.8161304936356835,1.5.0,male,hoheq
ab7e6aae050e4f80b1574e4d137ecae5,gifted-hound-933,73b47980c2cd47a7956e4d313b52bc0b,10,0.33,2,1,500,0.6044220307916348,1.5.0,male,hoheq
328694f348494f769d33b286543d0bec,amusing-moose-404,11aedddd256e4ee98add0590163a68c0,10,0.33,2,1,500,0.7285335850385681,1.5.0,male,hoheq
8fcf4ff6f3954b32b8e8865e0d5c1c77,melodic-chimp-746,cd84474b15a845baaff895ea35b8f212,10,0.33,2,1,500,0.5602391395811226,1.5.0,male,hoheq
8453b16d07c64f29a949624c400bf002,colorful-bear-371,917f71dcad174a1abf41804969309ac1,10,0.33,2,1,500,0.8125005580479321,1.5.0,male,hoheq
9ecbc43fb2744ef8860216e8ce171c09,judicious-lark-787,76ed63cee94041e5ae4f1e1b14c772bf,10,0.33,2,1,500,0.673445700883554,1.5.0,male,hoheq
7d81d893c2884811bec6b639293971d4,big-snake-934,286b444647a1451694a240e7bd732806,10,0.33,2,1,500,0.6928859532487786,1.5.0,male,hoheq
9b7a623931224c0a8b47b5768e6f9e32,auspicious-frog-758,9584d48d0382454891c95e0bee6638ff,10,0.33,2,1,500,0.7177554364540449,1.5.0,male,hoheq
cdf8a67e22b54cfcbcb61a27c62b8613,inquisitive-cat-773,e088bdbd449b47b394d5c3843517fdfb,10,0.33,2,1,500,0.7593530773370791,1.5.0,female,hoh
0eb728c59a484410bce428018523c91b,bemused-mink-904,da8283ad09944e38876d883deed2f80c,10,0.33,2,1,500,0.7522677501433016,1.5.0,female,hoh
e953b3a4be9047f5a578c95ea529097e,skittish-loon-864,45bdc01c67f54218927daf93722ef6f3,10,0.33,2,1,500,0.7589163253838298,1.5.0,female,hoh
ee954ff0a0854c6694e8b8f67153b107,enthused-bass-625,07f6b7b2ac7e47379d550e080f421e8a,10,0.33,2,1,500,0.7593530773370792,1.5.0,female,hoh
de480319419349c2b5870e23e7c45b75,unequaled-gnu-797,d1bf74e9f9484142b7d13018467f6515,10,0.33,2,1,500,0.6116137617062021,1.5.0,female,hoh
cd1f4fff85834883afbd1f69182f7b65,languid-mole-300,1bb1c4af4e514704b4a393472d7ea3cf,10,0.33,2,1,500,0.7156608012697807,1.5.0,female,hoh
97e44f44a7614434ad9b99396908eeb5,orderly-deer-847,cb8d1aac05844d0db8ff03654b4ef3d0,10,0.33,2,1,500,0.48937645339633223,1.5.0,female,hoh
