DHSID,water_transport_count,air_transport_count,ground_transport_count,all_transport_count
KE201400000198,0.0,0.0,0.0,0.0
KE201400000199,0.0,0.0,0.0,0.0
KE201400000200,0.0,0.0,2.0,2.0
KE201400000201,0.0,0.0,0.0,0.0
KE201400000202,0.0,0.0,13.0,13.0
KE201400000203,0.0,0.0,1.0,1.0
KE201400000204,0.0,0.0,0.0,0.0
KE201400000205,0.0,0.0,2.0,2.0
KE201400000206,0.0,0.0,0.0,0.0
KE201400000207,0.0,0.0,0.0,0.0
KE201400000208,0.0,0.0,0.0,0.0
KE201400000209,0.0,0.0,2.0,2.0
KE201400000210,0.0,0.0,0.0,0.0
KE201400000211,0.0,0.0,0.0,0.0
KE201400000212,0.0,0.0,1.0,1.0
KE201400000213,0.0,0.0,2.0,2.0
KE201400000214,0.0,0.0,0.0,0.0
KE201400000215,0.0,0.0,0.0,0.0
KE201400000216,0.0,0.0,0.0,0.0
KE201400000217,0.0,0.0,10.0,10.0
KE201400000218,0.0,0.0,8.0,8.0
KE201400000219,0.0,0.0,10.0,10.0
KE201400000220,0.0,0.0,1.0,1.0
KE201400000221,0.0,0.0,13.0,13.0
KE201400000222,0.0,0.0,1.0,1.0
KE201400000223,0.0,0.0,4.0,4.0
KE201400000224,0.0,0.0,0.0,0.0
KE201400000225,0.0,2.0,1.0,3.0
KE201400000226,0.0,1.0,2.0,3.0
KE201400000227,0.0,0.0,0.0,0.0
KE201400000228,0.0,0.0,1.0,1.0
KE201400000229,0.0,0.0,0.0,0.0
KE201400000230,0.0,0.0,0.0,0.0
KE201400000232,0.0,0.0,0.0,0.0
KE201400000233,0.0,0.0,1.0,1.0
KE201400000234,0.0,2.0,0.0,2.0
KE201400000235,0.0,0.0,11.0,11.0
KE201400000236,2.0,0.0,7.0,9.0
KE201400000237,0.0,0.0,10.0,10.0
KE201400000238,0.0,0.0,4.0,4.0
KE201400000239,0.0,0.0,4.0,4.0
KE201400000240,0.0,0.0,4.0,4.0
KE201400000241,0.0,0.0,12.0,12.0
KE201400000242,0.0,0.0,11.0,11.0
KE201400000243,0.0,0.0,8.0,8.0
KE201400000244,0.0,0.0,9.0,9.0
KE201400000245,0.0,0.0,1.0,1.0
KE201400000246,0.0,0.0,8.0,8.0
KE201400000247,0.0,0.0,14.0,14.0
KE201400000248,0.0,0.0,10.0,10.0
KE201400000249,0.0,0.0,4.0,4.0
KE201400000250,0.0,0.0,10.0,10.0
KE201400000251,0.0,0.0,11.0,11.0
KE201400000252,0.0,1.0,3.0,4.0
KE201400000253,0.0,5.0,0.0,5.0
KE201400000254,0.0,1.0,3.0,4.0
KE201400000255,0.0,3.0,1.0,4.0
KE201400000256,0.0,2.0,2.0,4.0
KE201400000257,0.0,3.0,5.0,8.0
KE201400000258,0.0,5.0,0.0,5.0
KE201400000259,0.0,3.0,2.0,5.0
KE201400000260,0.0,1.0,1.0,2.0
KE201400000261,0.0,3.0,5.0,8.0
KE201400000262,0.0,1.0,2.0,3.0
KE201400000263,0.0,0.0,0.0,0.0
KE201400000264,0.0,0.0,0.0,0.0
KE201400000265,0.0,0.0,0.0,0.0
KE201400000266,0.0,0.0,1.0,1.0
KE201400000267,2.0,0.0,1.0,3.0
KE201400000268,1.0,0.0,1.0,2.0
KE201400000269,0.0,0.0,0.0,0.0
KE201400000270,0.0,0.0,1.0,1.0
KE201400000271,0.0,0.0,0.0,0.0
KE201400000272,0.0,0.0,0.0,0.0
KE201400000273,0.0,0.0,0.0,0.0
KE201400000274,0.0,0.0,0.0,0.0
KE201400000275,0.0,0.0,0.0,0.0
KE201400000276,0.0,0.0,0.0,0.0
KE201400000277,0.0,0.0,0.0,0.0
KE201400000278,0.0,0.0,1.0,1.0
KE201400000279,0.0,0.0,0.0,0.0
KE201400000280,0.0,0.0,0.0,0.0
KE201400000281,0.0,0.0,0.0,0.0
KE201400000282,0.0,0.0,0.0,0.0
KE201400000283,0.0,0.0,2.0,2.0
KE201400000284,0.0,3.0,2.0,5.0
KE201400000285,0.0,0.0,2.0,2.0
KE201400000286,0.0,1.0,1.0,2.0
KE201400000287,0.0,4.0,2.0,6.0
KE201400000288,0.0,4.0,3.0,7.0
KE201400000289,0.0,4.0,3.0,7.0
KE201400000290,0.0,4.0,3.0,7.0
KE201400000291,0.0,1.0,1.0,2.0
KE201400000292,0.0,0.0,1.0,1.0
KE201400000293,0.0,0.0,0.0,0.0
KE201400000294,0.0,0.0,0.0,0.0
KE201400000295,0.0,1.0,0.0,1.0
KE201400000296,0.0,0.0,0.0,0.0
KE201400000297,0.0,0.0,0.0,0.0
KE201400000298,0.0,0.0,0.0,0.0
KE201400000299,0.0,0.0,0.0,0.0
KE201400000300,0.0,0.0,0.0,0.0
KE201400000301,0.0,0.0,0.0,0.0
KE201400000302,0.0,0.0,1.0,1.0
KE201400000303,0.0,0.0,1.0,1.0
KE201400000304,0.0,0.0,1.0,1.0
KE201400000305,0.0,0.0,1.0,1.0
KE201400000306,0.0,0.0,1.0,1.0
KE201400000307,0.0,0.0,1.0,1.0
KE201400000308,0.0,0.0,0.0,0.0
KE201400000309,0.0,3.0,0.0,3.0
KE201400000310,0.0,0.0,0.0,0.0
KE201400000311,0.0,0.0,0.0,0.0
KE201400000312,0.0,0.0,0.0,0.0
KE201400000313,0.0,0.0,0.0,0.0
KE201400000314,0.0,4.0,0.0,4.0
KE201400000315,0.0,0.0,0.0,0.0
KE201400000316,0.0,0.0,0.0,0.0
KE201400000317,0.0,0.0,0.0,0.0
KE201400000318,0.0,0.0,0.0,0.0
KE201400000319,0.0,0.0,1.0,1.0
KE201400000320,0.0,0.0,2.0,2.0
KE201400000321,0.0,0.0,0.0,0.0
KE201400000322,0.0,0.0,0.0,0.0
KE201400000323,0.0,1.0,3.0,4.0
KE201400000324,0.0,2.0,3.0,5.0
KE201400000325,0.0,3.0,3.0,6.0
KE201400000326,0.0,3.0,1.0,4.0
KE201400000327,0.0,1.0,3.0,4.0
KE201400000328,0.0,3.0,1.0,4.0
KE201400000329,0.0,0.0,0.0,0.0
KE201400000330,0.0,0.0,8.0,8.0
KE201400000331,0.0,0.0,0.0,0.0
KE201400000332,0.0,0.0,0.0,0.0
KE201400000333,0.0,0.0,0.0,0.0
KE201400000334,0.0,0.0,0.0,0.0
KE201400000335,0.0,0.0,0.0,0.0
KE201400000336,0.0,0.0,0.0,0.0
KE201400000338,0.0,0.0,0.0,0.0
KE201400000339,0.0,0.0,0.0,0.0
KE201400000340,0.0,0.0,0.0,0.0
KE201400000341,0.0,0.0,0.0,0.0
KE201400000342,0.0,0.0,0.0,0.0
KE201400000343,0.0,0.0,0.0,0.0
KE201400000344,0.0,0.0,0.0,0.0
KE201400000345,0.0,0.0,0.0,0.0
KE201400000346,0.0,0.0,0.0,0.0
KE201400000347,0.0,0.0,0.0,0.0
KE201400000348,0.0,0.0,0.0,0.0
KE201400000349,0.0,0.0,0.0,0.0
KE201400000350,0.0,0.0,0.0,0.0
KE201400000351,0.0,2.0,0.0,2.0
KE201400000352,0.0,0.0,0.0,0.0
KE201400000353,0.0,0.0,0.0,0.0
KE201400000354,0.0,0.0,0.0,0.0
KE201400000355,0.0,1.0,0.0,1.0
KE201400000356,0.0,0.0,0.0,0.0
KE201400000357,0.0,1.0,0.0,1.0
