DHSID,water_transport_count,ground_transport_count,air_transport_count,all_transport_count
LB201900000311,0.0,0.0,0.0,0.0
LB201900000313,0.0,0.0,0.0,0.0
LB201900000314,0.0,0.0,0.0,0.0
LB201900000315,0.0,0.0,0.0,0.0
LB201900000316,0.0,0.0,0.0,0.0
LB201900000317,0.0,0.0,0.0,0.0
LB201900000318,0.0,0.0,0.0,0.0
LB201900000319,0.0,0.0,1.0,1.0
LB201900000320,0.0,0.0,0.0,0.0
LB201900000321,0.0,0.0,0.0,0.0
LB201900000322,0.0,0.0,0.0,0.0
LB201900000323,0.0,0.0,0.0,0.0
LB201900000324,0.0,0.0,0.0,0.0
LB201900000325,0.0,0.0,0.0,0.0
