DHSID,minor_roads_count,minor_roads_length,nocars_roads_count,nocars_roads_length,small_roads_count,small_roads_length,major_roads_count,major_roads_length,unknown_roads_count,unknown_roads_length,links_roads_count,links_roads_length,minor_roads_nearest-osmid,minor_roads_nearestdist,nocars_roads_nearest-osmid,nocars_roads_nearestdist,small_roads_nearest-osmid,small_roads_nearestdist,major_roads_nearest-osmid,major_roads_nearestdist,unknown_roads_nearest-osmid,unknown_roads_nearestdist,links_roads_nearest-osmid,links_roads_nearestdist,all_roads_length,all_roads_count,all_roads_nearestdist
BD201800000353,905.0,478908.45219036745,22.0,12004.230523577839,50.0,48618.37930195053,96.0,51040.82666959197,0.0,0.0,2.0,1118.5870561006313,519448333,0.024848944545761344,519423022,0.02297018275706979,518692928,0.02582120862489736,326060788,0.044262012754796506,519097869,0.05631145882276936,731860343,0.3691807050343423,591690.4757415884,1075.0,0.02297018275706979
BD201800000354,103.0,28308.218451544202,101.0,61033.88050259764,23.0,26657.773647628295,11.0,3647.0976681347365,14.0,3680.9557175887144,0.0,0.0,468281340,0.0026625530315765957,838519866,0.03518979947075768,739615913,0.05446505313655939,162681789,0.030377612151507093,656903582,0.16019848755326638,653936558,0.3513338336010662,123327.92598749358,252.0,0.0026625530315765957
BD201800000355,164.0,71275.43710217412,3.0,241.04748110769154,0.0,0.0,26.0,33458.902680640545,0.0,0.0,0.0,0.0,806951159,0.07373268628159589,737946704,0.07156108670567185,737946705,0.07281317160341991,250878823,0.17235237168684567,519258189,0.1635697792701092,555415227,0.4472415917748027,104975.38726392236,193.0,0.07156108670567185
BD201800000356,420.0,124377.37920205563,91.0,56299.824681392136,154.0,333948.9144268219,30.0,52687.15521839105,9.0,3141.992119260391,0.0,0.0,526944010,0.0007563042070401951,538163411,0.003982143427545703,538163413,0.004323579891575201,538163394,0.0016678361870224015,536239012,0.025525627990024013,534660557,0.050246937210183515,570455.2656479211,704.0,0.0007563042070401951
BD201800000357,709.0,192581.1435125806,206.0,190083.69448978244,168.0,159069.0005331272,96.0,248065.86954373284,20.0,5959.2611963693225,0.0,0.0,464309628,0.019108275378930093,737260269,0.0919633323403313,783701640,0.08915048981175507,358531313,0.00274038913226879,341764710,0.10142801289427758,700058700,0.27776141757693845,795758.9692755924,1199.0,0.00274038913226879
BD201800000358,145.0,66327.29759870782,12.0,14003.82460067691,0.0,0.0,21.0,15884.520807027438,2.0,339.8824833818659,0.0,0.0,727647537,0.0009890124357613932,727647532,0.004324923026935375,557273419,0.006273500604773108,557556384,0.005363735843939481,588064534,0.08548107022545369,763496749,0.2151153513646513,96555.52548979403,180.0,0.0009890124357613932
BD201800000359,37.0,15941.4651572242,0.0,0.0,0.0,0.0,9.0,20340.235627408834,0.0,0.0,0.0,0.0,481973304,0.02413834942881559,837756057,0.043951798615499374,604575407,0.0509380186325276,57766844,0.018662401273266332,542562573,0.04987472902177259,694835881,0.12227628431026444,36281.70078463304,46.0,0.018662401273266332
BD201800000360,101.0,35730.71990180822,1.0,88.90754309651047,8.0,17595.028864783377,21.0,38152.47508955686,0.0,0.0,0.0,0.0,702981616,0.0024683745664268704,832747032,0.053857304118765485,545838174,0.08689070687902653,361318265,0.0586779986314017,127625859,0.09915747156318001,539399308,0.1239829407372362,91567.13139924496,131.0,0.0024683745664268704
BD201800000361,748.0,205757.83438335283,446.0,858105.429995922,729.0,1132267.2545431124,49.0,150566.49733160983,51.0,20294.960056068037,0.0,0.0,554449647,0.08501695046850194,685355661,0.047225596438499204,553890381,0.08563998025887783,311374772,0.08435537122207233,529367965,0.2622690620728977,311197624,0.09872133280427862,2366991.976310065,2023.0,0.047225596438499204
BD201800000362,334.0,104061.15806877648,59.0,58315.63150654932,61.0,185539.788379014,33.0,10666.385943736776,51.0,12226.555369518575,0.0,0.0,662042402,0.020460303482962273,663409644,0.02975310317922933,720895464,0.03179751442661211,661731259,0.013157540701795471,448509204,0.2717423843918269,558731078,0.09860283493418204,370809.51926759514,538.0,0.013157540701795471
BD201800000363,529.0,181285.97712816123,54.0,29074.15512323462,35.0,7621.199960984598,22.0,11756.477799175005,0.0,0.0,0.0,0.0,801752868,0.004479060572608162,832744541,0.021577460541716453,564707760,0.03414005576827275,441130986,0.0005867939504953904,127625859,0.04648338239812209,539399308,0.05275506362611808,229737.81001155547,640.0,0.0005867939504953904
BD201800000364,32.0,7027.7975556061765,4.0,2236.70087507647,0.0,0.0,31.0,28377.995801500572,0.0,0.0,0.0,0.0,594016722,0.002143254381266526,594016716,0.0063096447314515275,593219914,0.010241088289876151,547726908,0.006994357080640833,578826281,0.13228383697137203,845967651,0.12186412503852183,37642.49423218322,67.0,0.002143254381266526
