DHSID,lodging_pois_count,other_pois_count,food_pois_count,services_pois_count,entertainment_pois_count,landmark_pois_count,education_pois_count,health_pois_count,retail_pois_count,all_pois_count
BD201800000291,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
BD201800000292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD201800000293,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,3.0,8.0
BD201800000294,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,5.0
BD201800000295,0.0,0.0,0.0,6.0,0.0,0.0,30.0,0.0,1.0,37.0
BD201800000296,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
BD201800000297,3.0,0.0,5.0,28.0,40.0,7.0,64.0,25.0,8.0,180.0
BD201800000298,0.0,0.0,0.0,13.0,0.0,2.0,41.0,0.0,10.0,66.0
BD201800000299,0.0,0.0,0.0,14.0,0.0,1.0,12.0,1.0,3.0,31.0
BD201800000300,15.0,2.0,17.0,33.0,25.0,4.0,18.0,34.0,25.0,173.0
BD201800000301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
BD201800000302,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,5.0
BD201800000303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD201800000304,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0
BD201800000305,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
BD201800000306,8.0,0.0,17.0,22.0,7.0,2.0,3.0,8.0,9.0,76.0
BD201800000307,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,5.0
BD201800000308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD201800000309,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0
BD201800000310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD201800000311,0.0,0.0,0.0,2.0,0.0,0.0,5.0,1.0,0.0,8.0
BD201800000312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD201800000313,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
BD201800000314,6.0,0.0,7.0,8.0,6.0,4.0,7.0,6.0,4.0,48.0
BD201800000315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
