DHSID,education_pois_count,health_pois_count,lodging_pois_count,food_pois_count,services_pois_count,landmark_pois_count,entertainment_pois_count,other_pois_count,retail_pois_count,all_pois_count
NG201800000242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000246,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
NG201800000247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000256,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
NG201800000257,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
NG201800000258,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0
NG201800000259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000260,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,5.0
NG201800000261,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
NG201800000262,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
NG201800000263,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0
NG201800000264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000265,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
NG201800000266,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
NG201800000267,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
NG201800000268,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
NG201800000269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000271,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
NG201800000272,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
NG201800000273,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
NG201800000274,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
NG201800000275,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
NG201800000276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000277,0.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
NG201800000278,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
NG201800000279,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
NG201800000280,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
NG201800000281,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
NG201800000282,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
NG201800000283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000284,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
NG201800000285,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
NG201800000286,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
NG201800000287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000288,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
NG201800000289,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
NG201800000290,0.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0
NG201800000291,0.0,22.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,27.0
NG201800000292,0.0,22.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,29.0
NG201800000293,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0
NG201800000294,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
NG201800000295,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
