DHSID,links_roads_length,major_roads_length,minor_roads_length,nocars_roads_length,small_roads_length,unknown_roads_length,all_roads_length,links_roads_nearestid,links_roads_nearestdist,major_roads_nearestid,major_roads_nearestdist,minor_roads_nearestid,minor_roads_nearestdist,nocars_roads_nearestid,nocars_roads_nearestdist,small_roads_nearestid,small_roads_nearestdist,unknown_roads_nearestid,unknown_roads_nearestdist,all_roads_nearestdist,all_roads_nearestid
NG201800000677,0.0,12301.135543843187,10609.411698416512,0.0,0.0,0.0,22910.5472422597,561533934,0.03498775667348504,376997593,0.0003100685029167524,376992823,0.0001744999776992005,479287908,0.009216911583298886,477676884,0.00032267568008290977,1011801795,0.7747845362952609,0.0001744999776992005,376992823
NG201800000678,0.0,10473.172793172953,0.0,0.0,0.0,0.0,10473.172793172953,169914433,0.002670023124371205,208117948,0.0006734368413688561,479043767,0.0024066747331084716,959807239,0.011859443602678243,479043748,0.0012999238570214262,970683424,0.9643432197502232,0.0006734368413688561,208117948
NG201800000679,0.0,16395.231102154437,32606.60406856385,0.0,0.0,0.0,49001.83517071829,564278210,0.08694305653868555,202015104,0.0033089257590214766,392460149,0.006220060634940501,805485931,0.08222142117422561,549252726,0.003132618439955212,1014053947,1.1092321713752846,0.003132618439955212,549252726
NG201800000680,0.0,0.0,16789.566000883602,0.0,0.0,0.0,16789.566000883602,602899227,0.1192675162418421,589728905,0.0046889758376709,541809230,0.005899000512740384,813932649,0.03443815807274062,990849626,0.03793941544308191,1014053947,0.6894921057275007,0.0046889758376709,589728905
NG201800000681,0.0,0.0,112761.6225122562,8698.630566828684,1806.0104659252904,0.0,123266.26354501018,557364463,0.043570856895494926,477697167,0.003439276370634507,546244185,0.0003701893712080489,471511950,0.0026890745693876326,914016355,0.007429705522548253,1014053947,0.8925550225796313,0.0003701893712080489,546244185
NG201800000682,0.0,6761.453829953569,22351.11403113597,382.2066974465436,0.0,0.0,29494.774558536086,601921544,0.07405778978716183,391158702,0.0014526060789431627,544737828,0.0009900746521516054,499027338,0.0010753116784827203,733484628,0.008325960844012726,980667927,0.8458436585706884,0.0009900746521516054,544737828
NG201800000683,0.0,4440.294551783924,26711.853568985953,1301.5270558646166,21.817668507809472,0.0,32475.492845142304,571163658,0.06003075174821906,262401233,0.001539148235719211,602636731,0.00013793589240197526,678870175,0.0003503170540961188,678663084,0.0025322815092968785,980667927,0.6773842086315717,0.00013793589240197526,602636731
NG201800000684,9.11513169906278,12019.849919282575,166489.5795949948,636.3878134993282,4592.830045383683,0.0,183747.76250485945,574394040,0.006723804441707801,252597689,0.00029210698392312476,583389818,0.00026893458162938834,821149509,0.007295524047006427,583616782,0.006982883877304944,980667927,0.880286146426212,0.00026893458162938834,583389818
NG201800000685,261.70200395087693,36950.990961924006,145111.52428984825,78.53022644244196,3562.9978862119233,0.0,185965.7453683775,561463884,0.0009271265169072653,562551209,0.0007433693660111774,585281317,9.211191793970066e-05,633463004,0.01017524604539045,963787469,0.004762038734694667,980667927,0.9085898222736613,9.211191793970066e-05,585281317
NG201800000686,128.85045866644023,15741.325636180389,92340.51673741813,0.0,2234.113345775701,0.0,110444.80617804066,212965660,0.004660411630089994,212965607,0.004423869479837481,583695615,0.0011344430218621845,633463004,0.009241808632997117,583695597,0.002713442242326359,980667927,0.9104978176379461,0.0011344430218621845,583695615
