DHSID,links_roads_length,major_roads_length,minor_roads_length,nocars_roads_length,small_roads_length,unknown_roads_length,all_roads_length
NG201800000045,3766.516157823523,27466.923141481147,122489.83696241077,133.4125604198485,15022.488657607175,0.0,168879.17747974247
NG201800000046,1411.0629308906596,21051.084877953253,141051.5097040994,133.4125604198485,7816.646891248961,0.0,171463.7169646121
NG201800000047,985.4199328462929,26805.308313399128,133236.83337733647,233.6255741424519,15702.62153236841,0.0,176963.80873009274
NG201800000049,0.0,4350.150556885135,80152.94444444941,591.3619265425832,10522.156618333833,0.0,95616.61354621097
NG201800000050,0.0,2239.846154673652,52700.03277771994,437.7770245254942,5056.695062324042,0.0,60434.35101924313
NG201800000051,2218.354444262263,17217.51916546558,196947.66616062145,61.07303607203413,6259.098091238595,0.0,222703.7108976599
NG201800000052,5725.394162526829,18149.07905120506,117633.40875448823,3943.456259236902,5382.001061969976,0.0,150833.339289427
NG201800000053,3289.5808562955876,6651.306826581928,70616.09672026815,2074.307042673422,1700.0999350743887,0.0,84331.39138089347
NG201800000054,254.53061710309802,10193.38621812977,103270.18186804505,2662.758233468671,12638.594164522332,0.0,129019.45110126893
NG201800000055,3576.256308887973,18055.502329617688,134810.66013835478,3615.604027176295,7334.704796957487,0.0,167392.72760099423
NG201800000056,3251.0732946920225,16900.600062199854,142759.59260124172,2386.678869338456,5259.85350931021,0.0,170557.79833678223
NG201800000057,4249.779135064598,24774.32866648653,77755.41301501304,0.0,6516.812886219861,0.0,113296.33370278403
NG201800000058,4265.360426921722,26286.63892438666,103644.25228190082,0.0,5072.323138863025,0.0,139268.57477207223
NG201800000059,36.356901984567486,10800.703243606926,60719.480639236164,0.0,0.0,0.0,71556.54078482765
NG201800000060,36.53809548499548,9351.754907454295,53561.60115047185,0.0,3377.796170145564,0.0,66327.6903235567
NG201800000061,0.0,4820.565401344127,75436.00116627148,2233.19079096297,2578.276408046867,0.0,85068.03376662543
NG201800000062,306.74394225287745,25914.331667243197,250681.36092113476,0.0,15743.07187640551,0.0,292645.50840703637
NG201800000063,0.0,16017.637130089006,152785.3769570599,9677.225684600171,12612.801014944664,0.0,191093.04078669375
NG201800000064,88.97576395629603,47842.221526978,243876.3051137189,972.287832476861,31944.550275210277,0.0,324724.3405123403
NG201800000065,3572.3003192223955,30055.539585794737,133784.60447377755,0.0,4875.796109482648,0.0,172288.24048827734
NG201800000066,0.0,0.0,22789.884151968134,481.50846485984556,0.0,0.0,23271.39261682798
NG201800000067,254.53061710309802,26267.810053290043,294305.07401914446,4160.834335304517,21284.081636727853,0.0,346272.33066156995
NG201800000068,0.0,11499.01129410331,27109.079548842892,0.0,0.0,0.0,38608.0908429462
NG201800000069,58.05442143590301,31565.077032712412,27447.23567793339,0.0,0.0,0.0,59070.36713208171
NG201800000070,0.0,16004.392244225519,21156.062021505168,0.0,213.75133100757603,0.0,37374.20559673826
NG201800000071,0.0,18164.39124160185,7557.644411325334,0.0,0.0,0.0,25722.035652927185
NG201800000072,0.0,10190.327642435888,51987.12720033992,0.0,0.0,0.0,62177.45484277581
NG201800000073,0.0,12462.777339210743,32479.89505973329,0.0,0.0,0.0,44942.672398944036
NG201800000074,0.0,3997.8560225974256,4021.5190261469484,0.0,0.0,0.0,8019.375048744374
NG201800000075,0.0,3242.1786330845835,31026.41205482523,0.0,0.0,0.0,34268.59068790981
NG201800000076,0.0,8730.803371430131,41663.39645757923,5088.76805168238,903.0961163874709,0.0,56386.06399707922
NG201800000077,0.0,5725.986597811569,28810.20014834688,0.0,806.6116898753529,0.0,35342.7984360338
NG201800000078,25.56601741515405,17317.257431499063,59412.70575172922,0.0,0.0,0.0,76755.52920064343
NG201800000079,0.0,15774.477089988442,51405.314109169805,0.0,0.0,0.0,67179.79119915825
NG201800000080,25.56601741515405,15399.568755017826,70976.6495680497,0.0,0.0,0.0,86401.78434048269
NG201800000081,0.0,11561.06015210385,47532.83251125557,0.0,0.0,0.0,59093.89266335942
NG201800000082,166.050935081649,19937.292041942022,89891.4871737872,0.0,3501.0245382699723,0.0,113495.85468908085
NG201800000083,0.0,7877.494586843782,13605.975364563375,0.0,189.8534760171027,0.0,21673.32342742426
NG201800000084,0.0,3938.178004327267,33747.535305002755,2509.820753543938,485.01952276891944,0.0,40680.553585642876
NG201800000085,0.0,5767.096327761079,64927.329432059574,2963.1624785904755,211.35222074712038,0.0,73868.94045915824
NG201800000086,0.0,11164.412146668175,1732.1037650180504,0.0,1600.0084221717332,0.0,14496.524333857958
NG201800000087,0.0,25335.27578705728,3157.4783185559363,0.0,0.0,0.0,28492.754105613214
NG201800000088,0.0,9967.718286677635,14545.992962692968,0.0,0.0,0.0,24513.7112493706
NG201800000089,72.68322306655637,34233.518469914,149562.1638079111,11113.047005157343,8301.783297073305,0.0,203283.19580312227
NG201800000090,98.24924048171042,62498.19144898553,276447.13095986284,8437.062511136573,670.4469528717551,0.0,348151.0811133384
NG201800000091,196.19279952845636,32673.92434763779,78239.20031702216,0.0,0.0,0.0,111109.31746418841
NG201800000092,332.1983967847601,15048.558441240148,17862.269631768366,0.0,0.0,0.0,33243.02646979327
NG201800000093,0.0,22733.339809960453,43971.12255576619,0.0,515.3942849900468,0.0,67219.8566507167
NG201800000094,0.0,18666.341412037156,10043.686493716328,0.0,214.26671971978755,0.0,28924.294625473274
NG201800000095,0.0,1994.059294574979,14514.631545080996,8063.019169341784,7324.226100594134,0.0,31895.93610959189
