DHSID,links_roads_length,major_roads_length,minor_roads_length,nocars_roads_length,small_roads_length,unknown_roads_length,all_roads_length,links_roads_nearestid,links_roads_nearestdist,major_roads_nearestid,major_roads_nearestdist,minor_roads_nearestid,minor_roads_nearestdist,nocars_roads_nearestid,nocars_roads_nearestdist,small_roads_nearestid,small_roads_nearestdist,unknown_roads_nearestid,unknown_roads_nearestdist,all_roads_nearestdist,all_roads_nearestid
MR202000000592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,678400907,0.21423876381958135,451311792,0.12166822556560866,640386085,0.019961725080303905,456559842,0.19649000146468326,640386091,0.028924831167279702,668606940,0.22955406359335254,0.019961725080303905,640386085
MR202000000593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,678400907,0.22391322175515585,451311792,0.12464736373946189,640386085,0.0022381973600925685,456559842,0.21472095339608888,640386091,0.01151498599498037,668606940,0.24068330168707588,0.0022381973600925685,640386085
MR202000000594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,678400907,0.16401472985290017,451311792,0.04527011201756547,640459755,0.00438398813036417,456555153,0.06628857048591397,640459749,0.004706879586184933,668606940,0.2265750452320719,0.00438398813036417,640459755
MR202000000595,0.0,5525.582978857627,0.0,0.0,0.0,0.0,5525.582978857627,681920619,0.08323064241191551,136632328,0.03532453454610213,676706965,0.01647014377591887,457867519,0.22884253048529152,676706985,0.06288333528998423,668606940,0.1925342067431798,0.01647014377591887,676706965
MR202000000596,0.0,4269.07167122772,0.0,0.0,0.0,0.0,4269.07167122772,681920619,0.09528020636816488,25500444,0.04307341766694227,136918590,0.046790929113324935,669596644,0.24969067122967775,222296819,0.09549827984824184,756114414,0.27166982998270633,0.04307341766694227,25500444
MR202000000597,0.0,9715.157116989185,0.0,0.0,0.0,0.0,9715.157116989185,681920619,0.06442902501380546,25500444,0.008030651780390684,676710014,0.03769764533332585,457867519,0.2573480265310134,136632693,0.06339570825340944,668606940,0.27052065056244357,0.008030651780390684,25500444
MR202000000598,0.0,3920.1571205003797,6564.6773291935615,0.0,4558.86640301657,0.0,15043.70085271051,228666963,0.38025650832297064,25488851,0.004314943790781087,175113402,0.0022557050782673438,744573825,0.29194807794225386,454962142,0.0021804926575784366,668606940,0.7032702561642926,0.0021804926575784366,454962142
MR202000000599,0.0,3908.128958747812,6419.171266310743,0.0,4558.86640301657,0.0,14886.166628075123,228666963,0.38143859912423644,25488851,0.003158846687890178,661717517,0.0017326994001731792,744573825,0.2928275386673223,454962150,0.00444039906302495,668606940,0.69586349339698,0.0017326994001731792,661717517
MR202000000600,0.0,3670.2506029828437,6961.81141170304,0.0,3922.0588103265054,0.0,14554.12082501239,228666963,0.38545380047815875,25488851,0.00668732756751798,175113404,0.006811448738701257,744573825,0.2967149237728844,454962140,0.007741134847491173,668606940,0.6925180318187456,0.00668732756751798,25488851
MR202000000601,0.0,0.0,1293.760615848117,3255.924612665168,0.0,0.0,4549.6852285132845,681920619,0.45989913577277786,254403401,0.09912620152041873,222470892,0.021087589687593587,222460634,0.01782960555303181,414401234,0.10238682872936676,668606940,0.22276735614185655,0.01782960555303181,222460634
