DHSID,links_roads_length,major_roads_length,minor_roads_length,nocars_roads_length,small_roads_length,unknown_roads_length,all_roads_length,links_roads_nearestid,links_roads_nearestdist,major_roads_nearestid,major_roads_nearestdist,minor_roads_nearestid,minor_roads_nearestdist,nocars_roads_nearestid,nocars_roads_nearestdist,small_roads_nearestid,small_roads_nearestdist,unknown_roads_nearestid,unknown_roads_nearestdist,all_roads_nearestdist,all_roads_nearestid
ML201800000269,0.0,13344.802850555918,115453.44475029525,3399.7404313797083,0.0,0.0,132197.98803223087,570025524,0.12051165018425242,167539478,0.0028619671750319854,251185832,0.0026374682022141894,505546786,0.005873001150851211,561313838,0.016137194779124075,809012869,0.8323131695415287,0.0026374682022141894,251185832
ML201800000270,0.0,8215.392367178645,32019.883486892024,0.0,39.75890281968211,0.0,40275.03475689035,570025524,0.16345986060632986,202668992,0.021729333347113033,744787792,0.0051312469601983044,308158436,0.005299909098973143,656504014,0.0130183090815789,928089331,0.8507884163275118,0.0051312469601983044,744787792
ML201800000271,0.0,0.0,3509.92856211665,0.0,7731.885065111842,0.0,11241.813627228492,964887329,0.3573647040129101,307894056,0.035340193399387855,847268736,0.0012766354591533199,419214156,0.035666643903795724,785339949,0.005324172575147899,41267489,0.6265905357987053,0.0012766354591533199,847268736
ML201800000272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,671978425,0.49010128735896374,717890085,0.025300579599482002,790797207,0.0013545306937455149,591253504,0.012442914766709995,204840819,0.004642058305530174,561566858,0.7504663216402131,0.0013545306937455149,790797207
ML201800000273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,671978425,0.49010128735896374,717890085,0.025300579599482002,790797207,0.0013545306937455149,591253504,0.012442914766709995,204840819,0.004642058305530174,561566858,0.7504663216402131,0.0013545306937455149,790797207
ML201800000274,0.0,0.0,19645.84014780751,6038.906877608852,10939.883338976837,0.0,36624.630364393204,89173777,0.5928062041881866,554921981,0.02643509093791417,206173572,0.0013462339439883665,206322100,0.018260944663671834,203160524,0.0023072875523986675,41267489,0.912720232133434,0.0013462339439883665,206173572
ML201800000275,0.0,0.0,8814.753969252512,0.0,0.0,0.0,8814.753969252512,204154192,0.23082011628945295,30376095,0.0015725892647085232,41266669,0.0028804601882946356,300615981,0.016383630277728135,972215291,0.007302769107465709,809012869,0.49350787541817953,0.0015725892647085232,30376095
ML201800000276,0.0,11406.842956649323,50948.54548913505,2076.362627065849,17110.010251314478,0.0,81541.7613241647,188567590,0.28005736714958174,91333730,0.011385060227661026,205694255,0.0014437164286921665,832917080,0.009988980345479348,225646737,0.006718559067130095,809012869,0.5392519668614062,0.0014437164286921665,205694255
ML201800000277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,570025524,0.13145033433653633,583475862,0.002552100954663779,583474208,0.011310845535689939,761758899,0.05363426010176819,381876800,0.037273478279610917,809012869,1.00706739869962,0.002552100954663779,583475862
ML201800000278,0.0,0.0,2639.4018922964033,0.0,0.0,0.0,2639.4018922964033,188567590,0.1601233554530885,204178168,0.008147823326184281,795951908,0.00622350746607977,844192639,0.025226773220388677,975667577,0.002239904055383485,809012869,0.5382014194461571,0.002239904055383485,975667577
ML201800000279,0.0,0.0,22349.76327316087,0.0,0.0,0.0,22349.76327316087,438663918,0.038117550933426114,919184279,0.001648787866653206,906119107,4.409576582241808e-05,306089173,0.0015605628069798722,943811409,0.0009509796051474597,41267110,0.05661524164366865,4.409576582241808e-05,906119107
ML201800000280,0.0,0.0,24808.80173141488,0.0,0.0,0.0,24808.80173141488,201944293,0.359510528445611,602973257,0.0052968114537871374,602960511,0.003287728495139735,203289425,0.044147220007637974,675619141,0.10592483148585982,802745704,0.7784419275006171,0.003287728495139735,602960511
ML201800000281,0.0,0.0,20329.070107674586,0.0,0.0,0.0,20329.070107674586,201944293,0.28100893507097546,266078154,0.007929283035858967,609617517,0.0011979799293264067,674084500,0.013812055444385614,314294051,0.00469970556292789,802745704,0.7047976097592663,0.0011979799293264067,609617517
ML201800000282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,671978425,0.49010128735896374,717890085,0.025300579599482002,790797207,0.0013545306937455149,591253504,0.012442914766709995,204840819,0.004642058305530174,561566858,0.7504663216402131,0.0013545306937455149,790797207
ML201800000283,0.0,6941.642635485572,14446.531887513229,464.204204788266,10431.316731410981,0.0,32283.695459198047,167921395,0.216640394596667,202489995,0.02128080787494912,202490044,0.004070207064427152,551982002,0.04061032935857953,395903091,0.01426795182053082,976124296,0.17947122633688062,0.004070207064427152,202490044
ML201800000284,0.0,3685.2198581694242,8211.315303263455,0.0,19192.457019093436,0.0,31088.992180526315,167921395,0.1200879160648211,202489993,0.004677458854834982,202490006,0.0016287023242640207,239057337,0.047167325331731694,203812043,0.007135402011369203,898416858,0.24250387246591923,0.0016287023242640207,202490006
ML201800000285,0.0,35890.63988977732,127765.46075642762,6992.991009515181,135880.4483261655,0.0,306529.53998188564,167921396,0.05434758957308894,776918193,0.008080892105837437,171464031,0.0049056574751333015,1015862766,0.026722971824991372,1015021752,0.002134368345659907,898416858,0.21767233472755987,0.002134368345659907,1015021752
ML201800000286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403967663,0.4174214805922337,264275097,0.04883034250923198,788903828,6.710934443133223e-05,284985227,0.016952754685326518,190959364,0.013025230601438476,976124297,0.5649125899515806,6.710934443133223e-05,788903828
ML201800000288,0.0,8286.44711348136,29740.2231021943,5433.361603429275,23098.530770043395,0.0,66558.56258914832,403967663,0.34676034961876084,210696267,0.014870543619625209,764479378,0.0013854727058126776,986208325,0.026399241431733694,986181154,0.0074721543874489175,898416858,0.5442122470967673,0.0013854727058126776,764479378
ML201800000290,0.0,7717.667636688506,85859.4564259534,1737.326751518767,6007.127159707774,0.0,101321.57797386844,167921395,0.031457960955559444,202490072,0.004979000223170388,755470916,0.0005793342991385442,929829855,0.005459907728611715,239057341,0.007234708683096474,898416858,0.20220333877063507,0.0005793342991385442,755470916
ML201800000291,0.0,7200.504122176651,51120.201995364216,476.8313688270892,652.2131228887217,0.0,59449.75060925668,167921395,0.027262888069176337,169459489,0.011352601495931529,755470906,0.00032892590337812983,434766912,0.0144350922535391,871739798,0.013490582522357008,898416858,0.178687737920143,0.00032892590337812983,755470906
ML201800000292,0.0,10436.674108972302,83327.04472867635,3369.4957780340233,8321.25209387545,0.0,105454.46670955812,167921395,0.021100426991691266,41133520,0.001513619723467549,170076134,0.00040206150480630147,170076807,0.0028398423430270416,169975464,0.0021437786166870238,898416858,0.16858454256050662,0.00040206150480630147,170076134
ML201800000293,78.79322023576498,12280.586438150738,92255.14138330845,3176.6189406651656,4176.178864664555,0.0,111967.31884702468,167921395,0.01798895189809342,797255258,0.0005355643618943366,1004922520,0.00047218865530155766,169284126,0.0005355643618943366,169467724,0.002073110279770633,898416858,0.1710080151709593,0.00047218865530155766,1004922520
ML201800000294,0.0,10306.817735303472,0.0,948.2356923640899,29377.274572658895,0.0,40632.32800032645,403967663,0.5265690577131097,204192272,0.0008855506484280136,713708720,0.005588719910898542,967857021,0.035551880503233824,204494652,0.00968719449355795,898416858,0.7441651335076508,0.0008855506484280136,204192272
ML201800000295,0.0,14861.150346862138,120609.06636285738,21082.69742601662,21463.97771710987,0.0,178016.891852846,403967663,0.6588785532587016,41260561,0.0025824219068091643,190932633,0.00045590488383008,865189012,0.006870969599202973,203805736,0.0021011245330563835,681403934,0.8442030777037302,0.00045590488383008,190932633
ML201800000296,0.0,21226.720334681446,29253.942750899965,22530.34104591523,112578.62124560079,0.0,185589.62537709746,403967663,0.7713309859653719,202758756,0.017254660325341013,955366098,0.0009595206864545218,918647971,0.0013366862383378715,955272211,0.00515552594438176,681403934,0.8425378182387454,0.0009595206864545218,955366098
ML201800000297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,671978425,0.49010128735896374,717890085,0.025300579599482002,790797207,0.0013545306937455149,591253504,0.012442914766709995,204840819,0.004642058305530174,561566858,0.7504663216402131,0.0013545306937455149,790797207
ML201800000298,0.0,11033.320616833675,61806.614899916574,0.0,24082.91909099324,0.0,96922.85460774349,357253188,0.6038072170892214,866227885,0.017831471372901978,952366764,0.00527058888981427,202435206,0.011352101184889269,944607050,0.0007293975875789742,681403934,0.6763919029618052,0.0007293975875789742,944607050
ML201800000299,0.0,9930.809859684585,77210.37328002219,3254.7989397661727,41035.50510653507,0.0,131431.48718600802,357253188,0.6134037529182417,202510847,0.0009613251448243167,960686143,0.0011556301774954968,867008437,0.0009613251448243167,859674744,0.0039612413924925175,681403934,0.6467100991296275,0.0009613251448243167,202510847
ML201800000300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,671978425,0.49010128735896374,717890085,0.025300579599482002,790797207,0.0013545306937455149,591253504,0.012442914766709995,204840819,0.004642058305530174,561566858,0.7504663216402131,0.0013545306937455149,790797207
ML201800000301,0.0,4270.227472183543,0.0,0.0,1051.9236020041922,0.0,5322.1510741877355,1002545181,0.6866627450827044,41260642,0.0018838367695145956,702903546,0.01722494572155956,780535988,0.1798912123088303,204827658,0.009206046656798647,976124298,0.5667475032435993,0.0018838367695145956,41260642
ML201800000302,0.0,0.0,0.0,0.0,2375.128896398951,0.0,2375.128896398951,1002545181,0.4757599897866783,264544340,0.02188295089952793,239201819,0.002146310081036516,558333277,0.042028664429837416,239201989,0.005843801916172981,976124298,0.3403848148283376,0.002146310081036516,239201819
ML201800000303,0.0,1166.9462011055366,8260.198636936057,490.8816681189504,17588.374367826273,0.0,27506.400873986815,167921395,0.4718035002594621,1005024721,0.039034152079630124,617889869,0.003592875566797432,1005046933,0.042831349101720775,205147484,0.024182041219613738,976124296,0.2571771772253671,0.003592875566797432,617889869
ML201800000305,0.0,9517.58841829476,0.0,0.0,0.0,0.0,9517.58841829476,725793658,0.0841006856293849,207516189,0.0016671771720352725,617505595,0.00032675720428898287,704952160,0.013758878991588269,724436348,0.004690672831934529,41267489,0.2695142529609846,0.00032675720428898287,617505595
ML201800000306,0.0,0.0,9378.498726483012,0.0,0.0,0.0,9378.498726483012,445561608,0.3107428225439756,309653712,0.020422331638216253,206267153,0.002974719335250669,442475379,0.11524220084122361,727325139,0.028247685518940347,41267489,0.34071555958172284,0.002974719335250669,206267153
ML201800000307,0.0,10049.331651294206,0.0,0.0,0.0,0.0,10049.331651294206,150699948,0.7072892424971078,1004692259,0.01715020972147371,612660002,0.00015543128330878118,468540304,0.18825470756494397,41268542,0.039763643907200295,41267489,0.6892741776148912,0.00015543128330878118,612660002
ML201800000311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,671978425,0.49010105632754297,717890085,0.025299930986421713,790797207,0.00135502330554228,591253504,0.012443390002749733,204840819,0.004642443265731128,561566858,0.7504666561714229,0.00135502330554228,790797207
