DHSID,lodging_pois_count,education_pois_count,landmark_pois_count,health_pois_count,food_pois_count,entertainment_pois_count,services_pois_count,retail_pois_count,all_pois_count
ML201800000142,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
ML201800000143,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
ML201800000144,1.0,14.0,0.0,1.0,0.0,5.0,3.0,1.0,25.0
ML201800000145,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
ML201800000146,0.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,7.0
ML201800000147,0.0,8.0,1.0,1.0,0.0,0.0,2.0,0.0,12.0
ML201800000148,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0
ML201800000149,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0
ML201800000150,6.0,85.0,2.0,18.0,9.0,16.0,18.0,17.0,171.0
ML201800000151,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0
ML201800000152,0.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,7.0
ML201800000153,0.0,1.0,0.0,1.0,1.0,0.0,7.0,0.0,10.0
ML201800000154,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
ML201800000155,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ML201800000156,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0
ML201800000157,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
ML201800000158,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
ML201800000159,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
ML201800000160,0.0,33.0,6.0,4.0,1.0,3.0,6.0,4.0,57.0
ML201800000161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ML201800000162,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ML201800000163,12.0,88.0,5.0,22.0,16.0,20.0,32.0,29.0,224.0
ML201800000164,7.0,87.0,3.0,25.0,12.0,18.0,27.0,30.0,209.0
ML201800000165,9.0,98.0,5.0,22.0,17.0,20.0,36.0,37.0,244.0
ML201800000166,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0
ML201800000167,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
ML201800000168,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0
ML201800000169,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
ML201800000170,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
ML201800000171,0.0,18.0,5.0,4.0,2.0,6.0,10.0,1.0,46.0
ML201800000172,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0
ML201800000173,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ML201800000174,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0
ML201800000175,0.0,9.0,0.0,0.0,0.0,2.0,6.0,3.0,20.0
ML201800000176,0.0,9.0,0.0,0.0,0.0,2.0,2.0,1.0,14.0
ML201800000177,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
ML201800000178,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
ML201800000182,0.0,44.0,0.0,7.0,3.0,3.0,14.0,10.0,81.0
ML201800000183,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0
ML201800000184,0.0,28.0,0.0,0.0,0.0,1.0,4.0,5.0,38.0
ML201800000185,0.0,13.0,0.0,0.0,1.0,0.0,4.0,4.0,22.0
ML201800000186,0.0,18.0,0.0,2.0,0.0,0.0,5.0,3.0,28.0
ML201800000187,2.0,9.0,1.0,0.0,0.0,0.0,3.0,3.0,18.0
ML201800000189,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
ML201800000190,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
ML201800000191,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
ML201800000192,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
ML201800000193,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
ML201800000194,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
ML201800000195,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
ML201800000196,1.0,29.0,0.0,1.0,3.0,2.0,11.0,4.0,51.0
ML201800000197,0.0,7.0,0.0,0.0,0.0,0.0,4.0,0.0,11.0
ML201800000198,0.0,2.0,0.0,0.0,0.0,0.0,17.0,0.0,19.0
ML201800000199,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0
